quote,book title,author
"A man must be prepared to give 100 percent to his purpose, fulfill his karma or dissolve it, and then let go of that specific form of living. He must be capable of not knowing what to do with his life, entering a period of unknowingness and waiting for a vision or a new form of purpose to emerge. These cycles of strong specific action followed by periods of not knowing what the hell is going on are natural for a man who is shedding layers of karma in his",The Way of the Superior Man,David Deida
"Take care of the children and the house as much as you want. Just remember that if you give up your true purpose to do so for too long, you are not really helping anyone. Parenting",The Way of the Superior Man,David Deida
"You can give love to your family and engage your life’s work, if you discipline yourself to act on your deepest desires with priority.",The Way of the Superior Man,David Deida
"But if you forget your larger purpose while pursuing the small and endless tasks of daily life, then you have reduced yourself to a machine of picayune.",The Way of the Superior Man,David Deida
"should appreciate that she does these things to feel his strength, integrity, and openness. Her desire is for his deepest truth and love. As he grows, so will her testing.",The Way of the Superior Man,David Deida
Every moment of your life is either a test or a celebration.,The Way of the Superior Man,David Deida
she knows how much this moment of success means to you. This is precisely why she is negating it. Not because she wants to hurt you. But because she wants to feel Shiva. She wants to feel your strength.,The Way of the Superior Man,David Deida
"A woman will always test her man for the pleasure of feeling his strength in loving, his capacity to transcend nuisance, his persistence in his own truth, and his capacity to share that truth in love with her,",The Way of the Superior Man,David Deida
Your woman is testing you because she loves you.,The Way of the Superior Man,David Deida
"Whenever you are surprised by your woman’s actions, and you say to her, “But you said…,” you are forgetting that she has a feminine essence.",The Way of the Superior Man,David Deida
